 历史行情.指标排序 全部Ａ股 周期:日线 日期:2025-04-07 一 指标:竞价引用 使用1000个数据 前复权
代码   	名称	 涨幅%	 收盘	总金额	日期	竞价额	竞价量	开盘价Z	竞价手Z	流通股	流通值	主超大买	主大买	主中买	主小买	被超大买	被大买	被中买	被小买	主超大卖	主大卖	主中卖	主小卖	被超大卖	被大卖	被中卖	被小卖	成交量Z	成交额Z	昨日成交量	昨日成交额	收盘价Z	昨日收盘价		昨开涨幅	昨最低	昨最高	昨开收盘涨幅	开盘涨幅	最低价	最高价	涨幅	开收盘涨幅差	今开核距昨开涨
000001	平安银行	-5.64	10.70	2751055360	250407.0	76686496.0	69715.0	11.00	0.09	8160452608.0	207639625728.0	128585432.0	203634864.0	350322400.0	508949600.0	411726464.0	474616128.0	793576192.0	1071050048.0	551591296.0	293044928.0	428838176.0	285837088.0	915063872.0	525291008.0	775969344.0	534644672.0	2545560.5	2751055360.0	643913.9	730375808.0	10.70	11.34		-0.53	11.30	11.39	0.26	-3.00	10.48	11.05	-5.64	-2.65	-2.73
000002	万 科Ａ	-7.56	6.60	1318713472	250407.0	19251200.0	28063.0	6.86	0.04	6474124800.0	64131776512.0	63746640.0	77856880.0	168716288.0	281941088.0	152680720.0	183406752.0	402075936.0	580497984.0	161014992.0	150781776.0	232278304.0	182272672.0	288429152.0	266934112.0	418955488.0	344368992.0	1966334.8	1318713472.0	914330.1	653013888.0	6.60	7.14		-0.57	6.99	7.23	1.99	-3.92	6.46	6.93	-7.56	-3.64	-1.99
000004	国华网安	-9.98	8.84	21882660	250407.0	323400.0	347.00	9.32	0.04	86774904.0	1116385920.0	0.00	157117.5	3527922.5	11795629.0	0.00	349247.3	4989684.0	16543291.0	0.00	530873.3	2064410.1	3805394.5	0.00	2576902.0	7321938.0	11982945.0	24554.0	21882660.0	34749.0	34174048.0	8.84	9.82		-0.40	9.75	9.96	-0.90	-5.09	8.84	9.32	-9.98	-4.89	-5.93
000006	深振业Ａ	-10.04	6.27	203606160	250407.0	6158600.0	9504.01	6.48	0.11	850599232.0	8464420352.0	16972650.0	17449090.0	39088404.0	49146572.0	21659674.0	34319936.0	69458368.0	78156448.0	24383932.0	17159968.0	23072704.0	16321108.0	51296656.0	42606724.0	62869660.0	46825456.0	322745.0	203606160.0	396931.0	277495328.0	6.27	6.97		-0.14	6.88	7.15	-1.13	-7.03	6.27	6.50	-10.04	-3.01	-8.07
000007	全新好	-10.00	5.58	39393128	250407.0	118000.0	194.08	6.08	0.01	212762000.0	1933179776.0	0.00	223753.0	3726590.0	13502389.0	0.00	1994080.1	9288112.0	28109360.0	3758104.5	1906627.4	6178418.0	10094883.0	6187872.5	4267851.5	11420068.0	17514972.0	69638.0	39393128.0	31090.0	19206392.0	5.58	6.20		-0.33	6.10	6.22	1.30	-1.94	5.58	6.08	-10.00	-8.06	-0.65
000008	神州高铁	-9.96	2.53	431606752	250407.0	10983101.0	41289.9	2.66	0.25	1623605888.0	6795641856.0	15563704.0	30678538.0	62729580.0	76679080.0	35797380.0	65828512.0	146167600.0	183794992.0	58801968.0	41546372.0	70645232.0	74926760.0	106943272.0	79760744.0	131484376.0	113400096.0	1647998.3	431606752.0	1432486.8	396243008.0	2.53	2.81		-0.78	2.52	2.81	10.98	-5.34	2.53	2.72	-9.96	-4.63	5.10
000009	中国宝安	-10.02	7.36	328855232	250407.0	2181400.0	2785.95	7.83	0.02	1530392960.0	18778527744.0	38403648.0	17310910.0	34095652.0	56234148.0	91638640.0	36733064.0	78438416.0	122037960.0	31971250.0	33155126.0	54800340.0	62857280.0	75886504.0	51847224.0	91684680.0	109416520.0	440446.8	328855232.0	81774.4	66906492.0	7.36	8.18		-0.73	8.12	8.24	0.49	-4.28	7.36	7.89	-10.02	-5.75	-3.78
000010	美丽生态	-9.93	2.54	46275376	250407.0	446000.0	1651.85	2.70	0.03	473756704.0	1335916544.0	1730699.3	4088892.5	5838102.0	9658597.0	2063882.0	10101915.0	13283811.0	20822996.0	3032888.5	6039862.5	6532232.5	9352254.0	7787221.0	8378620.5	10762728.0	19344960.0	179708.0	46275376.0	156265.0	43862640.0	2.54	2.82		0.00	2.77	2.85	0.36	-4.26	2.54	2.71	-9.93	-5.67	-3.91
000011	深物业A	-9.96	7.68	62400816	250407.0	459500.0	554.95	8.28	0.03	187026304.0	4043331840.0	938508.3	1276720.8	5738379.0	13840501.0	938508.3	7679044.5	21671804.0	32108964.0	3154985.3	5450087.5	11187218.0	20809424.0	4457914.5	9629694.0	15145926.0	33164786.0	79658.5	62400816.0	42483.1	36114984.0	7.68	8.53		-0.71	8.36	8.55	1.78	-2.93	7.68	8.29	-9.96	-7.03	-1.18
000012	南 玻Ａ	-8.95	4.58	171055360	250407.0	2106700.0	4317.01	4.88	0.03	1290719232.0	8973444096.0	0.00	5675606.0	18579998.0	43998776.0	0.00	18299468.0	52849164.0	99902984.0	13434663.0	12493860.0	34840492.0	42017960.0	16523917.0	22206366.0	56427636.0	75890280.0	363312.1	171055360.0	122321.2	61317908.0	4.58	5.03		-0.60	4.96	5.04	1.40	-2.98	4.54	4.92	-8.95	-5.96	-1.60
